numbers,metrics,run
0.4464564463,f1,r
0.441923614,f1,r
0.4309950368,f1,r
0.4445965796,f1,r
0.4223398733,f1,r
0.4112508555,f1,r
0.3908429967,f1,r
0.4331038705,f1,r
0.4125833018,f1,r
0.432061164,f1,r
0.03995101211,i1,r
0.05821425828,i1,r
0.0563458473,i1,r
0.05430817139,i1,r
0.05426020684,i1,r
0.01778661773,i1,r
0.02664782451,i1,r
0.02400205134,i1,r
0.04518797491,i1,r
0.05048927121,i1,r
0.3808722709,mfp1,r
0.2990780658,mfp1,r
0.3350600698,mfp1,r
0.4264725799,mfp1,r
0.4900493335,mfp1,r
0.05135726657,mfp1,r
0.5703755441,mfp1,r
0.4545591683,mfp1,r
0.3974107971,mfp1,r
0.3377565588,mfp1,r
0.3845976137,r1,r
0.2999558316,r1,r
0.3265152377,r1,r
0.4310460959,r1,r
0.491728374,r1,r
0.3517766733,r1,r
0.5754281123,r1,r
0.4513454503,r1,r
0.3960264841,r1,r
0.3390039993,r1,r
0.3892463549,p1,r
0.5281302973,p1,r
0.5336825784,p1,r
0.8589436954,p1,r
0.5032053425,p1,r
0.7584904417,p1,r
0.7283928235,p1,r
0.6454195335,p1,r
0.7211965996,p1,r
0.53765419,p1,r
0.01379173133,f2,r
0.01641194549,f2,r
0.01478628486,f2,r
0.01107754348,f2,r
0.01463792906,f2,r
0.01496819693,f2,r
0.01181032889,f2,r
0.01249798238,f2,r
0.01510079367,f2,r
0.01164367116,f2,r
0.0001889450484,i2,r
0.00046898614,i2,r
0.0001334872689,i2,r
0.0004909523134,i2,r
0.0003426129032,i2,r
0.0004607228957,i2,r
0.0003890587267,i2,r
0.0001886937661,i2,r
0.0002430062243,i2,r
0.0002302477197,i2,r
0.0003290134739,mfp2,r
0.0003226734422,mfp2,r
0.0003123233163,mfp2,r
0.0004294111762,mfp2,r
0.0005871077233,mfp2,r
0.0008697148807,mfp2,r
0.0003180675648,mfp2,r
0.0002964602995,mfp2,r
0.0001510747488,mfp2,r
0.0002429060317,mfp2,r
0.0003208044822,r2,r
0.0003285278547,r2,r
0.000321398158,r2,r
0.0004268964164,r2,r
0.0005803972148,r2,r
0.000585797667,r2,r
0.0003205213564,r2,r
0.0002996913346,r2,r
0.0001465632791,r2,r
0.000241475279,r2,r
0.0002315659289,p2,r
0.0006613942038,p2,r
0.0001250101215,p2,r
0.0005862275561,p2,r
0.0002822647775,p2,r
0.0008818665765,p2,r
0.0005783579512,p2,r
0.001062646621,p2,r
0.0002378490587,p2,r
0.0005340523481,p2,r
0.04456443222,f3,r
0.04466422723,f3,r
0.04543627927,f3,r
0.04013195739,f3,r
