numbers,metrics,run
0.07106598985,f1,r
0.1015228426,f1,r
0.1015228426,f1,r
0.05076142132,f1,r
0.08121827411,f1,r
0.06091370558,f1,r
0.07106598985,f1,r
0.08121827411,f1,r
0.06091370558,f1,r
0.03045685279,f1,r
0.04060913706,i1,r
0.05076142132,i1,r
0.05076142132,i1,r
0.02030456853,i1,r
0.06091370558,i1,r
0.02030456853,i1,r
0.07106598985,i1,r
0.1015228426,i1,r
0.05076142132,i1,r
0.05076142132,i1,r
0.06091370558,mfp1,r
0.03045685279,mfp1,r
0.05076142132,mfp1,r
0.02030456853,mfp1,r
0.07106598985,mfp1,r
0.02030456853,mfp1,r
0.07106598985,mfp1,r
0.1015228426,mfp1,r
0.03045685279,mfp1,r
0.05076142132,mfp1,r
0.06091370558,r1,r
0.03045685279,r1,r
0.05076142132,r1,r
0.02030456853,r1,r
0.07106598985,r1,r
0.06091370558,r1,r
0.07106598985,r1,r
0.1015228426,r1,r
0.03045685279,r1,r
0.05076142132,r1,r
0.04060913706,p1,r
0.04060913706,p1,r
0.04060913706,p1,r
0.02030456853,p1,r
0.06091370558,p1,r
0.03045685279,p1,r
0.08121827411,p1,r
0.06091370558,p1,r
0.05076142132,p1,r
0.07106598985,p1,r
0.01015228426,f2,r
0.02030456853,f2,r
0.02030456853,f2,r
0,f2,r
0.01015228426,f2,r
0.03045685279,f2,r
0,f2,r
0.02030456853,f2,r
0,f2,r
0,f2,r
0.01015228426,i2,r
0.01015228426,i2,r
0.01015228426,i2,r
0,i2,r
0.02030456853,i2,r
0.01015228426,i2,r
0,i2,r
0.03045685279,i2,r
0.01015228426,i2,r
0.01015228426,i2,r
0.01015228426,mfp2,r
0.01015228426,mfp2,r
0.01015228426,mfp2,r
0,mfp2,r
0.02030456853,mfp2,r
0.01015228426,mfp2,r
0,mfp2,r
0.03045685279,mfp2,r
0.01015228426,mfp2,r
0.01015228426,mfp2,r
0.01015228426,r2,r
0.01015228426,r2,r
0.01015228426,r2,r
