numbers,metrics,run
0.9995960251,mfp5,c
0.999716239,mfp5,c
0.9997697385,mfp5,c
0.9997106172,mfp5,c
0.9996437357,r5,c
0.9995150787,r5,c
0.9998131944,r5,c
0.9993792426,r5,c
0.9995699234,r5,c
0.9995605219,r5,c
0.9995913336,r5,c
0.9997181704,r5,c
0.9997721539,r5,c
0.9997102083,r5,c
0.999644724,p5,c
0.9995146068,p5,c
0.9998112534,p5,c
0.9993745318,p5,c
0.9995721864,p5,c
0.9995616313,p5,c
0.9995909862,p5,c
0.9997237753,p5,c
0.9997651541,p5,c
0.9997045897,p5,c
0.9965665574,f6,c
0.9967414963,f6,c
0.9963495614,f6,c
0.9968790243,f6,c
0.9972620306,f6,c
0.997305314,f6,c
0.9970476275,f6,c
0.9963934148,f6,c
0.9966301789,f6,c
0.9966497405,f6,c
0.9997566071,i6,c
0.9999005168,i6,c
0.9998080802,i6,c
0.9999086,i6,c
0.9996833704,i6,c
0.9999821031,i6,c
0.9999390503,i6,c
0.9999023037,i6,c
0.9999242364,i6,c
0.9999708677,i6,c
0.999744625,mfp6,c
0.9998960225,mfp6,c
0.9997951605,mfp6,c
0.9999090263,mfp6,c
0.9996837072,mfp6,c
0.9999830996,mfp6,c
0.9999375632,mfp6,c
0.9998894988,mfp6,c
0.999923773,mfp6,c
0.9999714957,mfp6,c
0.9997553567,r6,c
0.999887753,r6,c
0.9997940047,r6,c
0.9999077077,r6,c
0.9996845986,r6,c
0.9999861562,r6,c
0.9999371035,r6,c
0.9998917438,r6,c
0.9999232947,r6,c
0.9999657639,r6,c
0.9996352329,p6,c
0.9998986536,p6,c
0.999856223,p6,c
0.9998724712,p6,c
0.999669217,p6,c
0.9999174549,p6,c
0.9998926356,p6,c
0.9999426527,p6,c
0.9999338891,p6,c
0.9999644255,p6,c
