numbers,metrics,run
0.6482724755,r5,c
0.6767738777,r5,c
0.5981217741,r5,c
0.7131422333,r5,c
0.7181924437,p5,c
0.7916825951,p5,c
0.6681869471,p5,c
0.7875666679,p5,c
0.7313510603,p5,c
0.8474625547,p5,c
0.7361512431,p5,c
0.7792336941,p5,c
0.6292288571,p5,c
0.7284087725,p5,c
1.320914985,f6,c
1.31589784,f6,c
1.300519222,f6,c
1.268189239,f6,c
1.305698724,f6,c
1.304461587,f6,c
1.290442037,f6,c
1.320050367,f6,c
1.287463106,f6,c
1.306923742,f6,c
0.1631497156,i6,c
0.1670397695,i6,c
0.2562311548,i6,c
0.2471170467,i6,c
0.1930651244,i6,c
0.1205210622,i6,c
0.1154656467,i6,c
0.1404730776,i6,c
0.1983632228,i6,c
0.2192763176,i6,c
0.1818920472,mfp6,c
0.1421530871,mfp6,c
0.2353926762,mfp6,c
0.261723474,mfp6,c
0.1859952469,mfp6,c
0.0910822145,mfp6,c
0.1279066683,mfp6,c
0.1612501878,mfp6,c
0.1813272888,mfp6,c
0.2819081613,mfp6,c
0.168458329,r6,c
0.1636487048,r6,c
0.2177295674,r6,c
0.297458192,r6,c
0.1825451488,r6,c
0.0921239502,r6,c
0.153526161,r6,c
0.1418993474,r6,c
0.1637124988,r6,c
0.301283391,r6,c
1.214885174,p6,c
1.255641959,p6,c
1.170411929,p6,c
1.481806355,p6,c
1.147517915,p6,c
1.342320217,p6,c
1.249251676,p6,c
1.249344599,p6,c
1.12927923,p6,c
1.431013874,p6,c
