Branches,Edge Length
0.1929659065,Leaves
0.0788619673,Leaves
0.0780360897,Leaves
0.0927736888,Leaves
0.1715600693,Leaves
0.228511943,Leaves
0.256237458,Leaves
0.1560865546,Leaves
0.0756763709,Leaves
0.1212424866,Leaves
0.168672814,Leaves
0.1661835749,Leaves
0.1570307072,Leaves
0.13321804,Leaves
0.1628927656,Leaves
0.1366304955,Leaves
0.1976221961,Leaves
0.2181300229,Leaves
0.2035148498,Leaves
0.2183433272,Leaves
0.1889569477,Leaves
0.1424182045,Leaves
0.1338977753,Leaves
0.2100937612,Leaves
0.1888233706,Leaves
0.2205723884,Leaves
0.1799492955,Leaves
0.2488444867,Leaves
0.1821933146,Leaves
0.1397101044,Leaves
0.1169233195,Leaves
0.203414469,Leaves
0.1188709232,Leaves
0.1122679385,Leaves
0.2846082037,Leaves
0.1261923824,Leaves
0.0768663776,Leaves
0.0793252122,Leaves
0.2307760932,Leaves
0.1684984717,Leaves
0.103674487,Leaves
0.1432460177,Leaves
0.1738838579,Leaves
0.1445388785,Leaves
0.1929923369,Leaves
0.2111699994,Leaves
0.2470946818,Leaves
0.1819127474,Leaves
0.1249129091,Leaves
0.181659367,Leaves
0.157047946,Leaves
0.1385522842,Leaves
0.1596538484,Leaves
0.2480607195,Leaves
0.1829063542,Leaves
0.326279419,Leaves
0.1887885175,Leaves
0.186135194,Leaves
0.0958761883,Leaves
0.1472767919,Leaves
0.2118468216,Leaves
0.1551235149,Leaves
0.1634142978,Leaves
0.2135297856,Leaves
0.193337376,Leaves
0.207940411,Leaves
0.1412322742,Leaves
0.2223823566,Leaves
0.2127362855,Leaves
0.1540287984,Leaves
