All,Internal,Leaves
0.1887885175,,
0.0092265548,,
0.186135194,,
0.0096476107,,
0.07576029,,
0.0958761883,,
0.1472767919,,
0.0059857111,,
0.2118468216,,
0.0363585282,,
0.1551235149,,
0.1634142978,,
0.0149209927,,
0.1486173567,,
0.0515777052,,
0.2135297856,,
0.193337376,,
0.0045286088,,
0.207940411,,
0.1412322742,,
0.2223823566,,
0.0123396019,,
0.2127362855,,
0.1540287984,,
